iter	RMSE
0	71673.4743
1	67354.74379
2	62982.24945
3	59052.11973
4	55635.15858
5	52454.0732
6	49582.75977
7	47099.92833
8	44844.38408
9	42798.6972
10	40869.11644
11	39067.9216
12	37669.12278
13	36303.14288
14	34906.20372
15	33825.41012
16	32802.93575
17	31922.22287
18	31068.27405
19	30385.83904
20	29642.85653
21	28980.27456
22	28280.42862
23	27755.6961
24	27218.03683
25	26664.76113
26	26245.97086
27	25779.54596
28	25460.4972
29	25162.4873
30	24876.51683
31	24577.62088
32	24310.51342
33	24012.17381
34	23729.22558
35	23489.96669
36	23281.50551
37	23084.84128
38	22912.88096
39	22746.96611
40	22578.90381
41	22413.70245
42	22279.37238
43	22129.68462
44	22037.33189
45	21904.98838
46	21804.18693
47	21709.92213
48	21620.33764
49	21517.67684
50	21408.10037
51	21258.32679
52	21159.29772
53	21024.68361
54	20953.05862
55	20866.85322
56	20704.23349
57	20620.60803
58	20519.09063
59	20443.64077
60	20358.1976
61	20285.58727
62	20211.26781
63	20159.30452
64	20072.45413
65	19979.05083
66	19915.04178
67	19836.58636
68	19769.46716
69	19728.88883
70	19676.70386
71	19616.40135
72	19551.47137
73	19471.43669
74	19404.08528
75	19324.62568
76	19260.72264
77	19200.0944
78	19125.27044
79	19048.56489
80	19005.08518
81	18949.86967
82	18924.24807
83	18841.36536
84	18787.29158
85	18759.06668
86	18704.74232
87	18612.37636
88	18563.3323
89	18533.84838
90	18473.9046
91	18391.57068
92	18336.32509
93	18308.99115
94	18250.70053
95	18186.76152
96	18129.82298
97	18063.98334
98	18033.68982
99	17994.1571
100	17917.33739
101	17883.55598
102	17788.76731
103	17661.04045
104	17547.86534
105	17497.97472
106	17399.21044
107	17349.63517
108	17277.36696
109	17232.54987
110	17185.7403
111	17133.56528
112	17083.06055
113	17033.1586
114	16932.63242
115	16884.08452
116	16828.26739
117	16742.14102
118	16697.13018
119	16667.02156
120	16630.53544
121	16607.42182
122	16553.40192
123	16501.35378
124	16430.35547
125	16354.49117
126	16298.20415
127	16270.77912
128	16251.02741
129	16187.52114
130	16137.75767
131	16080.93236
132	16002.21439
133	15969.06869
134	15937.55084
135	15899.76776
136	15855.99076
137	15818.41757
138	15803.28641
139	15793.25727
140	15762.11689
141	15721.75042
142	15695.38228
143	15669.78006
144	15608.13775
145	15551.70531
146	15474.91737
147	15417.59893
148	15393.90842
149	15355.28744
150	15321.05147
151	15292.02657
152	15273.56268
153	15241.16805
154	15201.53405
155	15155.18996
156	15105.60727
157	15079.47269
158	15035.92867
159	15014.20502
160	14971.88916
161	14944.93203
162	14893.34577
163	14843.31084
164	14800.04167
165	14784.80089
166	14754.23282
167	14714.91361
168	14680.93953
169	14625.14246
170	14584.5083
171	14573.11352
172	14523.88427
173	14500.07649
174	14443.68441
175	14416.18411
176	14373.22883
177	14323.82478
178	14305.80917
179	14287.39203
180	14261.16324
181	14233.83274
182	14194.67312
183	14153.81761
184	14131.47499
185	14113.36602
186	14102.36096
187	14050.48271
188	14034.99813
189	14011.13288
190	13997.27696
191	13958.24039
192	13914.07347
193	13897.28341
194	13871.91154
195	13841.1795
196	13805.38005
197	13766.06235
198	13752.41611
199	13713.16117
200	13696.64459
201	13674.11052
202	13646.22315
203	13595.03708
204	13561.37259
205	13537.88141
206	13495.85723
207	13471.08454
208	13431.16797
209	13404.8983
210	13383.2777
211	13374.20823
212	13348.07742
213	13305.82638
214	13286.42786
215	13258.30042
216	13231.23886
217	13171.95826
218	13146.98937
219	13106.66539
220	13078.85027
221	13064.28763
222	13035.90171
223	13016.13098
224	13007.86267
225	12964.0946
226	12934.20231
227	12919.19151
228	12896.34952
229	12866.4265
230	12849.04739
231	12838.10135
232	12799.65678
233	12768.81556
234	12754.98828
235	12741.9599
236	12728.19463
237	12706.40266
238	12677.10824
239	12665.22655
240	12636.74449
241	12610.27962
242	12582.70534
243	12560.41808
244	12543.93205
245	12514.98142
246	12509.80843
247	12489.39905
248	12460.52876
249	12423.28758
250	12414.95907
251	12386.70216
252	12381.93244
253	12341.69407
254	12328.18161
255	12323.01028
256	12306.20874
257	12281.68248
258	12245.03692
259	12206.55789
260	12187.2326
261	12160.51417
262	12154.03787
263	12140.74454
264	12115.21787
265	12095.10793
266	12080.08258
