iter	Passed	Remaining
0	170	85274
1	309	77046
2	544	90183
3	680	84347
4	843	83482
5	1038	85469
6	1175	82790
7	1309	80523
8	1528	83388
9	1674	82038
10	1907	84818
11	2085	84801
12	2350	88037
13	2484	86258
14	2652	85748
15	2806	84903
16	2942	83588
17	3117	83477
18	3268	82752
19	3407	81780
20	3591	81920
21	3738	81223
22	3876	80399
23	4074	80810
24	4211	80019
25	4354	79387
26	4625	81025
27	4907	82719
28	5219	84776
29	5381	84305
30	5519	83500
31	5664	82844
32	6067	85867
33	6400	87726
34	6549	87012
35	6753	87040
36	6895	86281
37	7051	85734
38	7228	85446
39	7375	84823
40	7528	84286
41	7709	84067
42	7878	83729
43	8026	83186
44	8212	83041
45	8394	82852
46	8533	82245
47	8816	83018
48	8966	82530
49	9106	81960
50	9388	82659
51	9575	82492
52	9925	83710
53	10101	83429
54	10442	84491
55	10731	85087
56	10913	84816
57	11117	84724
58	11515	86070
59	12001	88012
60	12600	90684
61	13074	92366
62	13407	93004
63	14001	95387
64	14518	97164
65	14877	97827
66	15221	98371
67	15606	99146
68	16056	100294
69	16396	100720
70	16642	100560
71	16887	100387
72	17179	100487
73	17369	99993
74	17621	99855
75	17792	99265
76	17971	98724
77	18241	98692
78	18443	98285
79	18628	97798
80	18833	97424
81	19045	97087
82	19227	96601
83	19463	96388
84	19659	95983
85	19886	95731
86	20297	96353
87	20488	95922
88	20789	96007
89	21037	95836
90	21335	95894
91	21540	95526
92	21764	95247
93	21930	94721
94	22116	94284
95	22346	94040
96	22520	93565
97	22692	93085
98	22866	92619
99	23035	92140
100	23195	91633
101	23434	91439
102	23597	90953
103	23750	90436
104	23967	90163
105	24127	89682
106	24431	89733
107	24645	89455
108	24846	89126
109	25027	88735
110	25294	88643
111	25481	88274
112	25637	87803
113	25865	87579
114	26028	87138
115	26221	86801
116	26424	86500
117	26590	86080
118	26764	85690
119	26936	85297
120	27116	84936
121	27274	84507
122	27469	84194
123	27629	83779
124	27787	83363
125	27976	83040
126	28158	82700
127	28326	82324
128	28525	82037
129	28686	81645
130	28863	81301
131	29083	81081
132	29414	81166
133	29580	80794
134	29788	80539
135	29977	80234
136	30262	80185
137	30450	79878
138	30579	79417
139	30734	79032
140	30902	78682
141	31053	78288
142	31180	77841
143	31321	77432
144	31503	77128
145	31631	76695
146	31775	76305
147	31922	75923
148	32056	75516
149	32269	75294
150	32439	74976
151	32596	74628
152	32780	74344
153	32915	73952
154	33053	73571
155	33224	73264
156	33388	72945
157	33544	72608
158	33731	72343
159	33966	72178
160	34438	72514
161	34707	72415
162	34882	72118
163	35037	71783
164	35275	71619
165	35429	71285
166	35611	71010
167	36071	71283
168	36810	72095
169	37129	72074
170	37676	72489
171	38979	74333
172	39361	74399
173	39581	74158
174	39828	73967
175	40159	73929
176	40452	73820
177	40682	73594
178	40852	73260
179	41105	73076
180	41280	72754
181	41467	72454
182	41792	72394
183	42209	72490
184	42545	72441
185	42762	72190
186	42934	71863
187	43117	71556
188	43350	71332
189	43585	71112
190	43755	70786
191	43962	70522
192	44155	70237
193	44338	69935
194	44544	69672
195	44744	69399
196	44929	69104
197	45169	68895
198	45380	68640
199	45577	68366
200	45782	68104
201	45953	67792
202	46160	67534
203	46357	67263
204	46543	66976
205	46713	66668
206	46913	66404
207	47127	66159
208	47400	65997
209	47620	65761
210	47804	65476
211	47983	65184
212	48175	64912
213	48358	64628
214	48535	64337
215	48744	64090
216	49130	64073
217	49562	64113
218	49881	64003
219	50289	64004
220	50969	64345
221	51955	65060
222	52499	65212
223	52917	65201
224	53233	65063
225	53432	64781
226	53913	64839
227	54122	64567
228	54403	64381
229	54575	64066
230	54787	63800
231	54979	63510
232	55199	63254
233	55540	63135
234	55880	63014
235	56152	62814
236	56318	62496
237	56677	62392
238	56927	62167
239	57141	61903
240	57328	61610
241	57540	61345
242	57748	61075
243	57941	60791
244	58112	60484
245	58335	60232
246	58515	59937
247	58667	59613
248	58862	59335
249	59033	59033
250	59419	58946
251	59725	58777
252	59889	58469
253	60051	58160
254	60226	57864
255	60390	57560
256	60553	57255
257	60722	56956
258	60864	56634
259	61047	56351
260	61240	56078
261	61393	55769
262	61535	55452
263	61732	55185
264	61913	54904
265	62056	54591
266	62299	54366
